Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,18p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.2,-49.0,180.0,bottom
C10,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.0,-39.7,90.0,bottom
C11,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.0,-58.0,90.0,bottom
C12,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.6,-54.3,270.0,bottom
C13,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.2,-52.1,90.0,bottom
C14,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.2,-56.1,90.0,bottom
C15,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.8,-54.5,90.0,bottom
C2,18p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.2,-49.0,0.0,bottom
C3,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.35,-27.2,0.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.4,-45.8,270.0,bottom
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.2,-30.3,90.0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.2,-30.3,90.0,top
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.2,-30.3,90.0,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.4,-45.8,270.0,bottom
C9,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,74.0,-43.525,270.0,bottom
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,128.2,-29.205,180.0,bottom
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,109.685,-29.105,90.0,bottom
J3,Conn_01x02,MPD_EJ508A,59.685,-54.0,90.0,bottom
LED1,LDS-C814RI,LDS-C814RI_LUM,58.88,-46.61,0.0,top
LED2,LDS-C814RI,LDS-C814RI_LUM,79.39,-46.61,0.0,top
LED3,LDS-C814RI,LDS-C814RI_LUM,99.9804,-46.61,0.0,top
LED4,LDS-C814RI,LDS-C814RI_LUM,120.63,-46.61,0.0,top
Q1,2N3906,TO-92_Inline,102.45,-41.76,270.0,bottom
Q2,2N3906,TO-92_Inline,102.45,-48.03,270.0,bottom
Q3,2N3904,TO-92_Inline,102.45,-35.53,270.0,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.6,-27.2,0.0,top
R10,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.6,-45.6,90.0,bottom
R11,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.6,-29.6,270.0,bottom
R12,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.2,-51.1,180.0,bottom
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.2,-30.3,-90.0,top
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.2,-30.3,-90.0,top
R4,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.2,-30.3,90.0,top
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.6,-37.6,90.0,bottom
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.6,-41.6,270.0,bottom
R7,R_Photo,R_LDR_5.1x4.3mm_P3.4mm_Vertical,102.7,-29.3,-90.0,top
R8,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.6,-57.4,0.0,bottom
R9,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.6,-33.6,270.0,bottom
SW1,SW_Push,SKQGADE010,120.6,-29.2,0.0,bottom
U1,ATmega328P-A,TQFP-32_7x7mm_P0.8mm,120.6,-38.0,90.0,bottom
U2,~,scd_40,61.3875,-29.45,270.0,bottom
U3,MAX7221xNG,DIP-24_W7.62mm_Socket,80.34,-42.37,0.0,bottom
U4,MIC5205-5.0YM5,SOT-23-5,114.93,-54.13,180.0,bottom
U5,MIC5366-3.3YC5,SOT-353_SC-70-5,121.0,-56.1,180.0,bottom
Y1,16MHz,XTAL_ECS-160-18-23A-EN-TR,118.8,-45.8,180.0,bottom
